lane_id,priority,market,dataset,physical_table,required_fields,symbol_scope,date_range,source_policy,PIT_requirement,adjustment_requirement,corporate_action_requirement,quality_thresholds,dependencies,owner_repository,implementation_branch,status,callback_path,snapshot_id,blocking_reason,next_action
A0,P0,A_SHARE,core market/calendar/symbol history,a_share_trade_calendar|a_share_daily_raw|a_share_symbol_master_history,ts_code|trade_date|open|high|low|close|pre_close|volume|amount|pct_chg|source|source_timestamp|ingested_at|quality_status|name|exchange|board|list_date|delist_date|list_status|status_effective_from|status_effective_to,all SSE/SZSE common A shares,full available history through latest completed session,official exchange calendars plus accepted public/authorized structured market source,source_timestamp and immutable available_at no later than consumer cutoff,raw prices only; no adjusted or total-return label,listing/delisting identity required,duplicate keys=0; expected sessions complete; no future rows; listing consistency,FOUNDATION,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-a0-20260713,NOT_DISPATCHED,reports/central_database/callbacks/A_SHARE_DB_CALLBACK_P0_CORE.json,,,dispatch when dependencies are accepted
A1,P0,A_SHARE,daily basic/market cap/valuation,a_share_daily_basic,ts_code|trade_date|circ_mv|total_mv|turnover_rate|volume_ratio|pe|pe_ttm|pb|ps|ps_ttm|dv_ratio|source|available_at|ingested_at|quality_status,A0 symbols,A0 date range,official or explicitly authorized structured source; relay is secondary/unqualified unless separately accepted,available by decision-date close; revision identity retained,not applicable,share-count changes must reconcile with corporate actions,duplicate keys=0; raw join>=98%; circ_mv and total_mv eligible-symbol coverage>=98%; systemic missing clusters=0,A0,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-a1-20260713,NOT_DISPATCHED,reports/central_database/callbacks/A_SHARE_DB_CALLBACK_P0_CIRC_MV.json,,,dispatch when dependencies are accepted
A2,P1,A_SHARE,adjustment/corporate actions,a_share_adj_factor|a_share_daily_adjusted|a_share_corporate_actions,ts_code|trade_date|adj_factor|event_type|ex_date|record_date|pay_date|effective_date|available_at|source|revision|quality_status,A0 symbols,A0 date range,official announcement documents plus accepted structured cross-check,document publication timestamp controls availability,formula and raw/adjusted reconciliation required; total_return only with dividends,dividends|splits|bonus|rights|other share changes,duplicate keys=0; unexplained factor discontinuities=0; event reconciliation pass,A0,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-a2-20260713,NOT_DISPATCHED,reports/central_database/callbacks/A_SHARE_DB_CALLBACK_P1_ADJUSTMENT.json,,,dispatch when dependencies are accepted
A3,P1,A_SHARE,tradability/status history,a_share_st_status_history|a_share_suspension_history|a_share_limit_price_status|a_share_tradability_daily,ts_code|trade_date|status|effective_from|effective_to|up_limit|down_limit|locked_flag|available_at|source|quality_status,A0 symbols,A0 date range,SSE/SZSE/CNINFO official status and announcement surfaces plus accepted structured source,status must be known before signal/execution cutoff,not applicable,suspension/resumption and delist status required,duplicate keys=0; interval overlap=0; missing status fails closed,A0|A2,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-a3-20260713,NOT_DISPATCHED,reports/central_database/callbacks/A_SHARE_DB_CALLBACK_P1_TRADABILITY.json,,,dispatch when dependencies are accepted
U0,P0,US,calendar/symbol master,us_trade_calendar|us_symbol_master_history,symbol|session_date|open_time|close_time|half_day|exchange|asset_type|currency|inception_date|delist_date|effective_from|effective_to|available_at|source,NYSE/Nasdaq ETFs and equities required by U1-U6,calendar 2010-01-01 through current year end; symbol full history,NYSE/Nasdaq/SEC official public sources and accepted authorized cross-check,historically effective identities; current-only membership is unqualified,not applicable,ticker changes/delist lifecycle required,duplicate keys=0; holidays/half-days complete; no invented pre-inception rows,FOUNDATION,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-u0-20260713,NOT_DISPATCHED,reports/central_database/callbacks/US_DB_CALLBACK_P0_CALENDAR.json,,,dispatch when dependencies are accepted
U1,P0,US,QQQ/GLD strict total-return inputs,us_etf_daily_adjusted|us_corporate_actions,symbol|trade_date|open|high|low|close|adjusted_close|total_return_index|volume|dividend_amount|split_factor|available_at|source|quality_status,QQQ|GLD,2016-01-01 through latest completed session,official sponsor/SEC documents plus accepted authorized price source and independent reconciliation,publication/availability identity required for actions,explicit dividend+split methodology; raw close is not total return,dividends/splits/expense treatment reconciled,duplicate keys=0; expected sessions complete; action reconciliation pass,U0,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-u1-20260713,NOT_DISPATCHED,reports/central_database/callbacks/US_DB_CALLBACK_P0A.json,,,dispatch when dependencies are accepted
U2,P1,US,regime core ETFs,us_etf_daily_adjusted|us_corporate_actions,same as U1,SPY|TLT|HYG|LQD,full available history through latest completed session,same qualified policy as U1,same as U1,same as U1,same as U1,same as U1 with inception-aware coverage,U0|U1,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-u2-20260713,NOT_DISPATCHED,reports/central_database/callbacks/US_DB_CALLBACK_P0B.json,,,dispatch when dependencies are accepted
U3,P1,US,sector ETF breadth,us_etf_daily_adjusted|us_corporate_actions,same as U1,XLK|XLF|XLE|XLV|XLI|XLP|XLY|XLB|XLU|XLRE|XLC,inception through latest completed session,same qualified policy as U1,same as U1,same as U1,same as U1,duplicate keys=0; pre-inception fabrication=0; coverage declared,U0|U1,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-u3-20260713,NOT_DISPATCHED,reports/central_database/callbacks/US_DB_CALLBACK_P1.json,,,dispatch when dependencies are accepted
A4,P2,A_SHARE,industry/sector/board history,a_share_industry_classification_history,ts_code|taxonomy|taxonomy_version|industry_code|industry_name|effective_from|effective_to|available_at|source_document_sha256|quality_status,A0 symbols,full historically versioned coverage,official/public classification documents; current-only snapshots cannot backfill history,effective-dated and publication-dated,not applicable,symbol lifecycle linkage required,interval overlap=0; mapped-industry coverage declared; current-only rows quarantined,A0,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-a4-20260713,NOT_DISPATCHED,reports/central_database/callbacks/A_SHARE_INDUSTRY_HISTORY_READY.json,,,dispatch when dependencies are accepted
A5,P1,A_SHARE,PIT fundamentals,a_share_source_documents_research|a_share_financial_facts_research|a_share_fundamentals_pit,ts_code|report_period|announced_at|effective_at|revision|concept|value|unit|consolidation_scope|source_url|content_sha256|quality_status,A0 symbols with staged bounded pilots before full universe,all legally/technically available annual and interim periods,SSE/SZSE/CNINFO primary PDF/XBRL with accepted structured secondary tie-out,no fact before actual publication; revisions append only,statement/restatement versioning required,issuer identity and report revision chain required,primary tie-out required; conflicts quarantined; balance and period checks pass,A0|A2|A3,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-a5-20260713,NOT_DISPATCHED,reports/central_database/callbacks/A_SHARE_PIT_FUNDAMENTALS_READY.json,,,dispatch when dependencies are accepted
A6,P2,A_SHARE,direct events/fund flows,a_share_financing_balance_daily|a_share_fund_flow_direct|a_share_block_trades|a_share_lockup_releases|a_share_dividend_events|a_share_earnings_events|a_share_buyback_events,symbol|event_date|publication_timestamp|effective_date|event_type|value|unit|source|revision|quality_status,A0 symbols where direct records exist,full qualified history,official/public direct row-backed sources only,publication timestamp mandatory,not applicable,event identity and revision chain required,synthetic proxy labels prohibited; missing direct source remains blocked,A0|A2|A3,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-a6-20260713,NOT_DISPATCHED,reports/central_database/callbacks/A_SHARE_EVENT_FUND_FLOW_CALLBACK.json,,,dispatch when dependencies are accepted
U4,P2,US,volatility/rates/credit/macro PIT,us_volatility_daily|us_rates_daily|us_credit_context_daily|us_macro_releases_pit,series_id|observation_date|value|release_timestamp|vintage|revision|available_at|source|quality_status,approved public market/macro series,full qualified history,CBOE/Treasury/FRED/BLS/BEA official public sources,original release and vintages retained; revisions not backdated,not applicable,not applicable,duplicate vintage keys=0; release chronology pass; missing vintages declared,U0,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-u4-20260713,NOT_DISPATCHED,reports/central_database/callbacks/US_CONTEXT_PIT_READY.json,,,dispatch when dependencies are accepted
U5,P2,US,equity daily/membership/survivorship,us_equity_daily_adjusted|us_index_membership_history|us_symbol_change_history|us_corporate_actions,symbol|trade_date|adjusted_open|adjusted_close|volume|membership_from|membership_to|delist_return|available_at|source|quality_status,accepted broad US universe including staged 270 symbols,full accepted history,official/authorized source with raw mirror and lifecycle evidence,"historical membership and lifecycle, not current-only",dividend/split adjusted and delisting-aware,mergers/ticker changes/delistings required,survivorship controls pass; duplicate keys=0; lifecycle reconciliation pass,U0|U1,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-u5-20260713,NOT_DISPATCHED,reports/central_database/callbacks/US_EQUITY_SURVIVORSHIP_CALLBACK.json,,,dispatch when dependencies are accepted
U6,P2,US,PIT fundamentals/earnings,us_fundamentals_pit|us_earnings_events_pit|us_estimate_surprise_pit,symbol|accession|report_period|accepted_at|available_at|concept|value|unit|revision|source_sha256|quality_status,U5 accepted universe,full SEC-available history,SEC EDGAR primary documents; estimates only from separately licensed source,acceptance timestamp/accession/revision identity required,statement/restatement handling required,issuer/ticker lifecycle linkage required,duplicate accession/concept keys=0; restatements append only; primary identity pass,U0|U5,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-u6-20260713,NOT_DISPATCHED,reports/central_database/callbacks/US_PIT_FUNDAMENTALS_EARNINGS_CALLBACK.json,,,dispatch when dependencies are accepted
X1,P3,CROSS,derived feature stores,a_share_feature_store|us_feature_store|regime_feature_store,entity|as_of|feature|value|source_dataset|source_snapshot_id|formula|lookback|minimum_periods|available_time|PIT_status|derivation_commit|hash,accepted upstream datasets only,upstream qualified ranges,deterministic derivation from accepted snapshots,inherit strictest upstream availability,documented per feature,inherit upstream action identity,undocumented derived columns=0; reproducible hash parity,A0|A1|A2|A3|A4|A5|A6|U0|U1|U2|U3|U4|U5|U6,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-x1-20260713,NOT_DISPATCHED,reports/central_database/callbacks/DERIVED_FEATURE_STORE_READY.json,,,dispatch when dependencies are accepted
X2,P3,CROSS,source health/update/snapshot automation,meta.dataset_catalog|meta.snapshot_registry|meta.quality_runs|meta.routine_append_runs,dataset_id|snapshot_id|source_health|stale_at|schema_hash|quality_status|receipt_sha256|rollback_reference,all accepted datasets,continuous operations,accepted ingestion profiles only,no weakening of upstream PIT contract,no weakening of upstream adjustment contract,no weakening of upstream action contract,idempotent update; stale/schema/duplicate guards; immutable receipts and exports,ALL_ACCEPTED_LANES,https://github.com/2604714984-prog/central-data-ingestion,codex/central-db-db2-x2-20260713,NOT_DISPATCHED,reports/central_database/callbacks/CENTRAL_DB_FULL_DATA_CALLBACK.json,,,dispatch when dependencies are accepted
